model_seed,angle,row,column,value
0,-30.0,1,3,-0.02695212596300514
0,-30.0,2,0,-0.05527668445510839
0,-30.0,2,1,0.027389268403003646
0,-30.0,2,2,0.1927324716922882
0,-30.0,2,3,0.045241102408568934
0,-30.0,3,0,-0.06999099041516606
0,-30.0,3,1,-0.02695212596300514
0,-30.0,3,2,0.045241102408568934
0,-30.0,3,3,0.23802188410233274
0,-15.0,0,0,0.14866702018710376
0,-15.0,0,1,0.035493376922292666
0,-15.0,0,2,-0.0769795388376652
0,-15.0,0,3,-0.04122824309452166
0,-15.0,1,0,0.035493376922292666
0,-15.0,1,1,0.10221637502653565
0,-15.0,1,2,0.050297845242742736
0,-15.0,1,3,-0.0029745221456542186
0,-15.0,2,0,-0.0769795388376652
0,-15.0,2,1,0.050297845242742736
0,-15.0,2,2,0.20632189236917026
0,-15.0,2,3,0.05658710585434524
0,-15.0,3,0,-0.04122824309452166
0,-15.0,3,1,-0.0029745221456542186
0,-15.0,3,2,0.05658710585434524
0,-15.0,3,3,0.18692072454737027
0,0.0,0,0,0.13570768372604997
0,0.0,0,1,0.011578856237510884
0,0.0,0,2,-0.08950022078938746
0,0.0,0,3,-0.03797595834844815
0,0.0,1,0,0.011578856237510884
0,0.0,1,1,0.07849528050538476
0,0.0,1,2,0.0397255493921909
0,0.0,1,3,0.010746683199667546
0,0.0,2,0,-0.08950022078938746
0,0.0,2,1,0.0397255493921909
0,0.0,2,2,0.18046707718174873
0,0.0,2,3,0.05995195090325981
0,0.0,3,0,-0.03797595834844815
0,0.0,3,1,0.010746683199667546
0,0.0,3,2,0.05995195090325981
0,0.0,3,3,0.1509854651076355
0,15.0,0,0,0.15556246846395194
0,15.0,0,1,0.007860488256527218
0,15.0,0,2,-0.10866113081756403
0,15.0,0,3,-0.07730342882734552
0,15.0,1,0,0.007860488256527218
0,15.0,1,1,0.05741602991756189
0,15.0,1,2,0.01688666252102677
0,15.0,1,3,0.009372162704904133
0,15.0,2,0,-0.10866113081756403
0,15.0,2,1,0.01688666252102677
0,15.0,2,2,0.1872680877445128
0,15.0,2,3,0.0875113117884326
0,15.0,3,0,-0.07730342882734552
0,15.0,3,1,0.009372162704904133
0,15.0,3,2,0.0875113117884326
0,15.0,3,3,0.16358187221279272
0,30.0,0,0,0.2063651345759659
0,30.0,0,1,0.023179744718286724
0,30.0,0,2,-0.10475861679662167
0,30.0,0,3,-0.1409502943589432
0,30.0,1,0,0.023179744718286724
0,30.0,1,1,0.061927165136954676
0,30.0,1,2,0.02084323396343397
0,30.0,1,3,0.008533978297630057
0,30.0,2,0,-0.10475861679662167
0,30.0,2,1,0.02084323396343397
0,30.0,2,2,0.18683538696006927
0,30.0,2,3,0.10280778034761545
0,30.0,3,0,-0.1409502943589432
0,30.0,3,1,0.008533978297630057
0,30.0,3,2,0.10280778034761545
0,30.0,3,3,0.2195493750035514
0,45.0,0,0,0.2281269409732778
0,45.0,0,1,0.020917631519957864
0,45.0,0,2,-0.06749164852992202
0,45.0,0,3,-0.17354358759542024
0,45.0,1,0,0.020917631519957864
0,45.0,1,1,0.08045618246245996
0,45.0,1,2,0.05081126168575353
0,45.0,1,3,0.01758094874562813
0,45.0,2,0,-0.06749164852992202
0,45.0,2,1,0.05081126168575353
0,45.0,2,2,0.1794332874306556
0,45.0,2,3,0.07855942884960988
0,45.0,3,0,-0.17354358759542024
0,45.0,3,1,0.01758094874562813
0,45.0,3,2,0.07855942884960988
0,45.0,3,3,0.23790073900380015
0,60.0,0,0,0.2198910903638044
0,60.0,0,1,0.017320220805565105
0,60.0,0,2,-0.036952831516212765
0,60.0,0,3,-0.15316896155824414
0,60.0,1,0,0.017320220805565105
0,60.0,1,1,0.09355074961135372
0,60.0,1,2,0.0737308237982206
0,60.0,1,3,0.01599314821398195
0,60.0,2,0,-0.036952831516212765
0,60.0,2,1,0.0737308237982206
0,60.0,2,2,0.18661956341105973
0,60.0,2,3,0.03800400745996668
0,60.0,3,0,-0.15316896155824414
0,60.0,3,1,0.01599314821398195
0,60.0,3,2,0.03800400745996668
0,60.0,3,3,0.20110770516583107
0,75.0,0,0,0.2207058639824505
0,75.0,0,1,0.009915232611943374
0,75.0,0,2,-0.04340781059343825
0,75.0,0,3,-0.12081435471307148
0,75.0,1,0,0.009915232611943374
0,75.0,1,1,0.10779160120393975
0,75.0,1,2,0.0854655444571159
0,75.0,1,3,0.02037747594193389
0,75.0,2,0,-0.04340781059343825
0,75.0,2,1,0.0854655444571159
0,75.0,2,2,0.19203646636411154
0,75.0,2,3,0.040024285139064815
0,75.0,3,0,-0.12081435471307148
0,75.0,3,1,0.02037747594193389
0,75.0,3,2,0.040024285139064815
0,75.0,3,3,0.1726836077169389
