model_seed,metric,angle_a,angle_b,factor_gap,category,distance
0,log_euclidean,-75.0,45.0,120.0,far,1.1277948551889108
0,log_euclidean,-75.0,60.0,135.0,far,1.0560397009579123
0,log_euclidean,-75.0,75.0,150.0,far,0.8722491811928641
0,log_euclidean,-60.0,-45.0,15.0,near,0.5797597448931123
0,log_euclidean,-60.0,-30.0,30.0,near,0.8773571030115112
0,log_euclidean,-60.0,-15.0,45.0,mid,0.8761836711224964
0,log_euclidean,-60.0,0.0,60.0,mid,0.8619153409377086
0,log_euclidean,-60.0,15.0,75.0,mid,0.8415428541108265
0,log_euclidean,-60.0,30.0,90.0,far,0.8627116014682782
0,log_euclidean,-60.0,45.0,105.0,far,1.1032478416657376
0,log_euclidean,-60.0,60.0,120.0,far,1.15570374596056
0,log_euclidean,-60.0,75.0,135.0,far,0.9779842103401493
0,log_euclidean,-45.0,-30.0,15.0,near,0.48467291972921667
0,log_euclidean,-45.0,-15.0,30.0,near,0.8780799625699308
0,log_euclidean,-45.0,0.0,45.0,mid,1.1146779982565511
0,log_euclidean,-45.0,15.0,60.0,mid,1.1198207598516507
0,log_euclidean,-45.0,30.0,75.0,mid,0.9521648994887709
0,log_euclidean,-45.0,45.0,90.0,far,1.1559104370141895
0,log_euclidean,-45.0,60.0,105.0,far,1.2552441141135613
0,log_euclidean,-45.0,75.0,120.0,far,1.0907249790114382
0,log_euclidean,-30.0,-15.0,15.0,near,0.6811268723001719
0,log_euclidean,-30.0,0.0,30.0,near,1.0681741188475504
0,log_euclidean,-30.0,15.0,45.0,mid,1.2145018950844555
0,log_euclidean,-30.0,30.0,60.0,mid,1.0855322260123066
0,log_euclidean,-30.0,45.0,75.0,mid,1.2811723948867555
0,log_euclidean,-30.0,60.0,90.0,far,1.3760620537303043
0,log_euclidean,-30.0,75.0,105.0,far,1.2262766404262306
0,log_euclidean,-15.0,0.0,15.0,near,0.5291727618870493
0,log_euclidean,-15.0,15.0,30.0,near,0.9163343268119458
0,log_euclidean,-15.0,30.0,45.0,mid,1.0466060663117511
0,log_euclidean,-15.0,45.0,60.0,mid,1.30048174875306
0,log_euclidean,-15.0,60.0,75.0,mid,1.3753480581773074
0,log_euclidean,-15.0,75.0,90.0,far,1.185747456400157
0,log_euclidean,0.0,15.0,15.0,near,0.5594856215436302
0,log_euclidean,0.0,30.0,30.0,near,0.9666539700759844
0,log_euclidean,0.0,45.0,45.0,mid,1.333887721326505
0,log_euclidean,0.0,60.0,60.0,mid,1.4366330829628498
0,log_euclidean,0.0,75.0,75.0,mid,1.2660219706576805
0,log_euclidean,15.0,30.0,15.0,near,0.6575231283535656
0,log_euclidean,15.0,45.0,30.0,near,1.1711908744380193
0,log_euclidean,15.0,60.0,45.0,mid,1.3772823727068892
0,log_euclidean,15.0,75.0,60.0,mid,1.3001772201625317
0,log_euclidean,30.0,45.0,15.0,near,0.6028415179952576
0,log_euclidean,30.0,60.0,30.0,near,0.9242572701155393
0,log_euclidean,30.0,75.0,45.0,mid,0.9821656853050159
0,log_euclidean,45.0,60.0,15.0,near,0.41389312444597487
0,log_euclidean,45.0,75.0,30.0,near,0.6597347616765387
0,log_euclidean,60.0,75.0,15.0,near,0.420045710496708
0,airm,-75.0,-60.0,15.0,near,0.5256588293655102
0,airm,-75.0,-45.0,30.0,near,1.0300895344035952
0,airm,-75.0,-30.0,45.0,mid,1.21764930833534
0,airm,-75.0,-15.0,60.0,mid,1.0151010424520952
0,airm,-75.0,0.0,75.0,mid,0.8671904623083243
0,airm,-75.0,15.0,90.0,far,0.9650738307398689
0,airm,-75.0,30.0,105.0,far,1.0679588742633628
0,airm,-75.0,45.0,120.0,far,1.1574629689568203
0,airm,-75.0,60.0,135.0,far,1.0735690556721604
0,airm,-75.0,75.0,150.0,far,0.8863668746824435
0,airm,-60.0,-45.0,15.0,near,0.6193963646390226
0,airm,-60.0,-30.0,30.0,near,0.956069615264254
0,airm,-60.0,-15.0,45.0,mid,0.937416106318251
0,airm,-60.0,0.0,60.0,mid,0.8977300396497198
0,airm,-60.0,15.0,75.0,mid,0.8718152426941944
0,airm,-60.0,30.0,90.0,far,0.8933929144241906
0,airm,-60.0,45.0,105.0,far,1.1209954777745936
0,airm,-60.0,60.0,120.0,far,1.1822005255415806
0,airm,-60.0,75.0,135.0,far,1.0118848912009388
0,airm,-45.0,-30.0,15.0,near,0.5351163282869739
0,airm,-45.0,-15.0,30.0,near,0.9223932551090628
0,airm,-45.0,0.0,45.0,mid,1.14181501938276
0,airm,-45.0,15.0,60.0,mid,1.1335373276314347
0,airm,-45.0,30.0,75.0,mid,0.9647593330448683
0,airm,-45.0,45.0,90.0,far,1.1936018664076393
0,airm,-45.0,60.0,105.0,far,1.3163095945037604
0,airm,-45.0,75.0,120.0,far,1.163202515690249
0,airm,-30.0,-15.0,15.0,near,0.7125230827316799
0,airm,-30.0,0.0,30.0,near,1.0963796319080057
0,airm,-30.0,15.0,45.0,mid,1.231436384359868
0,airm,-30.0,30.0,60.0,mid,1.1279373041091099
0,airm,-30.0,45.0,75.0,mid,1.3707825931287718
0,airm,-30.0,60.0,90.0,far,1.4887301599779716
0,airm,-30.0,75.0,105.0,far,1.3408486715613854
0,airm,-15.0,0.0,15.0,near,0.538313941375812
0,airm,-15.0,15.0,30.0,near,0.9232283069218815
0,airm,-15.0,30.0,45.0,mid,1.0876208501994629
0,airm,-15.0,45.0,60.0,mid,1.3836227996308164
0,airm,-15.0,60.0,75.0,mid,1.4797065274780694
0,airm,-15.0,75.0,90.0,far,1.29066511322653
0,airm,0.0,15.0,15.0,near,0.5696578386853544
0,airm,0.0,30.0,30.0,near,1.0014624651496653
0,airm,0.0,45.0,45.0,mid,1.38953375348299
0,airm,0.0,60.0,60.0,mid,1.504395112079897
0,airm,0.0,75.0,75.0,mid,1.3354611708104083
0,airm,15.0,30.0,15.0,near,0.6807301746083988
0,airm,15.0,45.0,30.0,near,1.2182659209586773
0,airm,15.0,60.0,45.0,mid,1.440499076672952
0,airm,15.0,75.0,60.0,mid,1.372300072389871
0,airm,30.0,45.0,15.0,near,0.6496359925375522
0,airm,30.0,60.0,30.0,near,1.007989020858635
0,airm,30.0,75.0,45.0,mid,1.0790058391218362
0,airm,45.0,60.0,15.0,near,0.4633316255099159
0,airm,45.0,75.0,30.0,near,0.7224015964284687
0,airm,60.0,75.0,15.0,near,0.4389245421210434
0,bures,-75.0,-60.0,15.0,near,0.10419655298410016
0,bures,-75.0,-45.0,30.0,near,0.20564664811356567
0,bures,-75.0,-30.0,45.0,mid,0.21134114842042506
0,bures,-75.0,-15.0,60.0,mid,0.14828061976488857
0,bures,-75.0,0.0,75.0,mid,0.12101821462442021
0,bures,-75.0,15.0,90.0,far,0.16289871430455233
0,bures,-75.0,30.0,105.0,far,0.21415739184876686
0,bures,-75.0,45.0,120.0,far,0.2343506133607683
0,bures,-75.0,60.0,135.0,far,0.20628642853698076
0,bures,-75.0,75.0,150.0,far,0.17280582281036935
0,bures,-60.0,-45.0,15.0,near,0.11872577780012741
0,bures,-60.0,-30.0,30.0,near,0.15896986906588617
0,bures,-60.0,-15.0,45.0,mid,0.13829069244496886
0,bures,-60.0,0.0,60.0,mid,0.1365553504507919
0,bures,-60.0,15.0,75.0,mid,0.13769043148797244
0,bures,-60.0,30.0,90.0,far,0.15334818334239228
0,bures,-60.0,45.0,105.0,far,0.1891434430741665
0,bures,-60.0,60.0,120.0,far,0.1925516441243492
0,bures,-60.0,75.0,135.0,far,0.17054118568761634
0,bures,-45.0,-30.0,15.0,near,0.09587837366311511
0,bures,-45.0,-15.0,30.0,near,0.1701346176593926
0,bures,-45.0,0.0,45.0,mid,0.21342057597094063
0,bures,-45.0,15.0,60.0,mid,0.20271842840160528
0,bures,-45.0,30.0,75.0,mid,0.1579185275899181
0,bures,-45.0,45.0,90.0,far,0.1783404786272083
0,bures,-45.0,60.0,105.0,far,0.1983185411330578
0,bures,-45.0,75.0,120.0,far,0.1910782063370472
0,bures,-30.0,-15.0,15.0,near,0.1325845173398099
0,bures,-30.0,0.0,30.0,near,0.20132071111772804
0,bures,-30.0,15.0,45.0,mid,0.22130779518845103
0,bures,-30.0,30.0,60.0,mid,0.19913480865474753
0,bures,-30.0,45.0,75.0,mid,0.215509900434723
0,bures,-30.0,60.0,90.0,far,0.21994398812724605
0,bures,-30.0,75.0,105.0,far,0.2076666700991911
0,bures,-15.0,0.0,15.0,near,0.09371531561825713
0,bures,-15.0,15.0,30.0,near,0.15752037261760396
0,bures,-15.0,30.0,45.0,mid,0.19713218593044615
0,bures,-15.0,45.0,60.0,mid,0.2337213800865794
0,bures,-15.0,60.0,75.0,mid,0.23054831792333758
0,bures,-15.0,75.0,90.0,far,0.19843644314711237
0,bures,0.0,15.0,15.0,near,0.09914298585167011
0,bures,0.0,30.0,30.0,near,0.19048647768786062
0,bures,0.0,45.0,45.0,mid,0.24962931815978712
0,bures,0.0,60.0,60.0,mid,0.25377298076580884
0,bures,0.0,75.0,75.0,mid,0.22124879885762294
0,bures,15.0,30.0,15.0,near,0.12471398346317725
0,bures,15.0,45.0,30.0,near,0.21372506906502298
0,bures,15.0,60.0,45.0,mid,0.2461539792184988
0,bures,15.0,75.0,60.0,mid,0.2310320751714005
0,bures,30.0,45.0,15.0,near,0.10990739699841848
0,bures,30.0,60.0,30.0,near,0.17610315846787003
0,bures,30.0,75.0,45.0,mid,0.18754648566207757
0,bures,45.0,60.0,15.0,near,0.08872406744570846
0,bures,45.0,75.0,30.0,near,0.1282937750539646
0,bures,60.0,75.0,15.0,near,0.06712174104490692
0,centroid_plus_log_euclidean,-75.0,-60.0,15.0,near,0.5794209226719131
0,centroid_plus_log_euclidean,-75.0,-45.0,30.0,near,1.3558761434347817
0,centroid_plus_log_euclidean,-75.0,-30.0,45.0,mid,1.913057484822195
0,centroid_plus_log_euclidean,-75.0,-15.0,60.0,mid,1.9895679045885695
0,centroid_plus_log_euclidean,-75.0,0.0,75.0,mid,1.9584826258658
0,centroid_plus_log_euclidean,-75.0,15.0,90.0,far,1.9450082293716426
0,centroid_plus_log_euclidean,-75.0,30.0,105.0,far,1.8245071846519911
0,centroid_plus_log_euclidean,-75.0,45.0,120.0,far,1.530146932132907
0,centroid_plus_log_euclidean,-75.0,60.0,135.0,far,1.1356312917330253
0,centroid_plus_log_euclidean,-75.0,75.0,150.0,far,0.7706945871869941
0,centroid_plus_log_euclidean,-60.0,-45.0,15.0,near,0.8692091949422818
0,centroid_plus_log_euclidean,-60.0,-30.0,30.0,near,1.5781664896857703
0,centroid_plus_log_euclidean,-60.0,-15.0,45.0,mid,1.8287206217739185
0,centroid_plus_log_euclidean,-60.0,0.0,60.0,mid,1.8971436845664078
0,centroid_plus_log_euclidean,-60.0,15.0,75.0,mid,1.8531580223460695
0,centroid_plus_log_euclidean,-60.0,30.0,90.0,far,1.7195299877622912
0,centroid_plus_log_euclidean,-60.0,45.0,105.0,far,1.5788194742897403
0,centroid_plus_log_euclidean,-60.0,60.0,120.0,far,1.3387810684466048
0,centroid_plus_log_euclidean,-60.0,75.0,135.0,far,0.9956777382943869
0,centroid_plus_log_euclidean,-45.0,-30.0,15.0,near,0.8874252961377865
0,centroid_plus_log_euclidean,-45.0,-15.0,30.0,near,1.4464041628496482
0,centroid_plus_log_euclidean,-45.0,0.0,45.0,mid,1.7112927251329588
0,centroid_plus_log_euclidean,-45.0,15.0,60.0,mid,1.7297270473803703
0,centroid_plus_log_euclidean,-45.0,30.0,75.0,mid,1.5736130040176834
0,centroid_plus_log_euclidean,-45.0,45.0,90.0,far,1.6463529054941377
0,centroid_plus_log_euclidean,-45.0,60.0,105.0,far,1.6484202763868807
0,centroid_plus_log_euclidean,-45.0,75.0,120.0,far,1.4316928175145702
0,centroid_plus_log_euclidean,-30.0,-15.0,15.0,near,0.7780520084244797
0,centroid_plus_log_euclidean,-30.0,0.0,30.0,near,1.179453761712724
0,centroid_plus_log_euclidean,-30.0,15.0,45.0,mid,1.3407579631962467
0,centroid_plus_log_euclidean,-30.0,30.0,60.0,mid,1.3534893623380655
0,centroid_plus_log_euclidean,-30.0,45.0,75.0,mid,1.7321941763317106
0,centroid_plus_log_euclidean,-30.0,60.0,90.0,far,1.955481175526775
0,centroid_plus_log_euclidean,-30.0,75.0,105.0,far,1.886012265476901
0,centroid_plus_log_euclidean,-15.0,0.0,15.0,near,0.49141926475308073
0,centroid_plus_log_euclidean,-15.0,15.0,30.0,near,0.8248743101955034
0,centroid_plus_log_euclidean,-15.0,30.0,45.0,mid,1.0983664982519175
0,centroid_plus_log_euclidean,-15.0,45.0,60.0,mid,1.6666870459208254
0,centroid_plus_log_euclidean,-15.0,60.0,75.0,mid,1.9891844965025367
0,centroid_plus_log_euclidean,-15.0,75.0,90.0,far,1.9885677122898917
0,centroid_plus_log_euclidean,0.0,15.0,15.0,near,0.4642563758973274
0,centroid_plus_log_euclidean,0.0,30.0,30.0,near,0.9475912201819603
0,centroid_plus_log_euclidean,0.0,45.0,45.0,mid,1.6151831606630247
0,centroid_plus_log_euclidean,0.0,60.0,60.0,mid,1.9904450231866517
0,centroid_plus_log_euclidean,0.0,75.0,75.0,mid,2.0411503544982956
0,centroid_plus_log_euclidean,15.0,30.0,15.0,near,0.6272783744440126
0,centroid_plus_log_euclidean,15.0,45.0,30.0,near,1.38550996919026
0,centroid_plus_log_euclidean,15.0,60.0,45.0,mid,1.8418825009356907
0,centroid_plus_log_euclidean,15.0,75.0,60.0,mid,1.9694738345321858
0,centroid_plus_log_euclidean,30.0,45.0,15.0,near,0.8250691979366851
0,centroid_plus_log_euclidean,30.0,60.0,30.0,near,1.3717127673412615
0,centroid_plus_log_euclidean,30.0,75.0,45.0,mid,1.5980110885805445
0,centroid_plus_log_euclidean,45.0,60.0,15.0,near,0.6329948449635455
0,centroid_plus_log_euclidean,45.0,75.0,30.0,near,1.0177890757473405
0,centroid_plus_log_euclidean,60.0,75.0,15.0,near,0.5153278241169359
