model_seed,method,angle,host,mean_route_mass,host_specialization
4,r1_linear,-75.0,0,0.2279432713985443,0.003009974956512451
4,r1_linear,-75.0,1,0.23749825358390808,0.0006317496299743652
4,r1_linear,-75.0,2,0.29986685514450073,0.00015532970428466797
4,r1_linear,-75.0,3,0.2346915751695633,0.001968085765838623
4,r1_linear,-60.0,0,0.22071056067943573,0.003009974956512451
4,r1_linear,-60.0,1,0.24590730667114258,0.0006317496299743652
4,r1_linear,-60.0,2,0.2936793267726898,0.00015532970428466797
4,r1_linear,-60.0,3,0.23970282077789307,0.001968085765838623
4,r1_linear,-45.0,0,0.20318026840686798,0.003009974956512451
4,r1_linear,-45.0,1,0.2507774233818054,0.0006317496299743652
4,r1_linear,-45.0,2,0.28867271542549133,0.00015532970428466797
4,r1_linear,-45.0,3,0.2573695778846741,0.001968085765838623
4,r1_linear,-30.0,0,0.18167437613010406,0.003009974956512451
4,r1_linear,-30.0,1,0.2456190139055252,0.0006317496299743652
4,r1_linear,-30.0,2,0.29039067029953003,0.00015532970428466797
4,r1_linear,-30.0,3,0.2823159694671631,0.001968085765838623
4,r1_linear,-15.0,0,0.1676545888185501,0.003009974956512451
4,r1_linear,-15.0,1,0.2345677614212036,0.0006317496299743652
4,r1_linear,-15.0,2,0.2959097623825073,0.00015532970428466797
4,r1_linear,-15.0,3,0.30186790227890015,0.001968085765838623
4,r1_linear,0.0,0,0.16148807108402252,0.003009974956512451
4,r1_linear,0.0,1,0.22551889717578888,0.0006317496299743652
4,r1_linear,0.0,2,0.3005322813987732,0.00015532970428466797
4,r1_linear,0.0,3,0.3124607503414154,0.001968085765838623
4,r1_linear,15.0,0,0.1636166274547577,0.003009974956512451
4,r1_linear,15.0,1,0.22218723595142365,0.0006317496299743652
4,r1_linear,15.0,2,0.303676575422287,0.00015532970428466797
4,r1_linear,15.0,3,0.3105195164680481,0.001968085765838623
4,r1_linear,30.0,0,0.1736873984336853,0.003009974956512451
4,r1_linear,30.0,1,0.2171642780303955,0.0006317496299743652
4,r1_linear,30.0,2,0.3081304728984833,0.00015532970428466797
4,r1_linear,30.0,3,0.3010178506374359,0.001968085765838623
4,r1_linear,45.0,0,0.18949900567531586,0.003009974956512451
4,r1_linear,45.0,1,0.2165418565273285,0.0006317496299743652
4,r1_linear,45.0,2,0.31120073795318604,0.00015532970428466797
4,r1_linear,45.0,3,0.2827583849430084,0.001968085765838623
4,r1_linear,60.0,0,0.2066592425107956,0.003009974956512451
4,r1_linear,60.0,1,0.21593396365642548,0.0006317496299743652
4,r1_linear,60.0,2,0.3130279779434204,0.00015532970428466797
4,r1_linear,60.0,3,0.2643788456916809,0.001968085765838623
4,r1_linear,75.0,0,0.2171541005373001,0.003009974956512451
4,r1_linear,75.0,1,0.21807830035686493,0.0006317496299743652
4,r1_linear,75.0,2,0.3106827437877655,0.00015532970428466797
4,r1_linear,75.0,3,0.25408482551574707,0.001968085765838623
4,r2_prototype_energy,-75.0,0,0.5994006395339966,0.058636248111724854
4,r2_prototype_energy,-75.0,1,0.18622687458992004,0.007497310638427734
4,r2_prototype_energy,-75.0,2,0.02847851812839508,0.08759617805480957
4,r2_prototype_energy,-75.0,3,0.1858939677476883,0.00823831558227539
4,r2_prototype_energy,-60.0,0,0.4831846356391907,0.058636248111724854
4,r2_prototype_energy,-60.0,1,0.20578961074352264,0.007497310638427734
4,r2_prototype_energy,-60.0,2,0.05204208940267563,0.08759617805480957
4,r2_prototype_energy,-60.0,3,0.25898367166519165,0.00823831558227539
4,r2_prototype_energy,-45.0,0,0.31644123792648315,0.058636248111724854
4,r2_prototype_energy,-45.0,1,0.2280621975660324,0.007497310638427734
4,r2_prototype_energy,-45.0,2,0.12532319128513336,0.08759617805480957
4,r2_prototype_energy,-45.0,3,0.33017340302467346,0.00823831558227539
4,r2_prototype_energy,-30.0,0,0.17830416560173035,0.058636248111724854
4,r2_prototype_energy,-30.0,1,0.2848174571990967,0.007497310638427734
4,r2_prototype_energy,-30.0,2,0.21927979588508606,0.08759617805480957
4,r2_prototype_energy,-30.0,3,0.3175985515117645,0.00823831558227539
4,r2_prototype_energy,-15.0,0,0.1135762557387352,0.058636248111724854
4,r2_prototype_energy,-15.0,1,0.32470154762268066,0.007497310638427734
4,r2_prototype_energy,-15.0,2,0.2855989336967468,0.08759617805480957
4,r2_prototype_energy,-15.0,3,0.2761232256889343,0.00823831558227539
4,r2_prototype_energy,0.0,0,0.12079806625843048,0.058636248111724854
4,r2_prototype_energy,0.0,1,0.32685837149620056,0.007497310638427734
4,r2_prototype_energy,0.0,2,0.3278380036354065,0.08759617805480957
4,r2_prototype_energy,0.0,3,0.22450554370880127,0.00823831558227539
4,r2_prototype_energy,15.0,0,0.147652268409729,0.058636248111724854
4,r2_prototype_energy,15.0,1,0.3317796587944031,0.007497310638427734
4,r2_prototype_energy,15.0,2,0.3172531723976135,0.08759617805480957
4,r2_prototype_energy,15.0,3,0.20331493020057678,0.00823831558227539
4,r2_prototype_energy,30.0,0,0.2167612612247467,0.058636248111724854
4,r2_prototype_energy,30.0,1,0.3140595257282257,0.007497310638427734
4,r2_prototype_energy,30.0,2,0.2642834782600403,0.08759617805480957
4,r2_prototype_energy,30.0,3,0.20489570498466492,0.00823831558227539
4,r2_prototype_energy,45.0,0,0.32457131147384644,0.058636248111724854
4,r2_prototype_energy,45.0,1,0.30889931321144104,0.007497310638427734
4,r2_prototype_energy,45.0,2,0.16542592644691467,0.08759617805480957
4,r2_prototype_energy,45.0,3,0.20110347867012024,0.00823831558227539
4,r2_prototype_energy,60.0,0,0.4579682946205139,0.058636248111724854
4,r2_prototype_energy,60.0,1,0.263641893863678,0.007497310638427734
4,r2_prototype_energy,60.0,2,0.0862162858247757,0.08759617805480957
4,r2_prototype_energy,60.0,3,0.1921735554933548,0.00823831558227539
4,r2_prototype_energy,75.0,0,0.500185489654541,0.058636248111724854
4,r2_prototype_energy,75.0,1,0.22603483498096466,0.007497310638427734
4,r2_prototype_energy,75.0,2,0.05193271487951279,0.08759617805480957
4,r2_prototype_energy,75.0,3,0.22184701263904572,0.00823831558227539
4,r3_hybrid_energy,-75.0,0,0.07341259717941284,0.06328308582305908
4,r3_hybrid_energy,-75.0,1,0.29843851923942566,0.023828566074371338
4,r3_hybrid_energy,-75.0,2,0.5161219835281372,0.06077921390533447
4,r3_hybrid_energy,-75.0,3,0.11202691495418549,0.024842679500579834
4,r3_hybrid_energy,-60.0,0,0.11553668975830078,0.06328308582305908
4,r3_hybrid_energy,-60.0,1,0.3071771562099457,0.023828566074371338
4,r3_hybrid_energy,-60.0,2,0.4292544424533844,0.06077921390533447
4,r3_hybrid_energy,-60.0,3,0.14803168177604675,0.024842679500579834
4,r3_hybrid_energy,-45.0,0,0.24601855874061584,0.06328308582305908
4,r3_hybrid_energy,-45.0,1,0.27676406502723694,0.023828566074371338
4,r3_hybrid_energy,-45.0,2,0.27847906947135925,0.06077921390533447
4,r3_hybrid_energy,-45.0,3,0.19873832166194916,0.024842679500579834
4,r3_hybrid_energy,-30.0,0,0.3496891260147095,0.06328308582305908
4,r3_hybrid_energy,-30.0,1,0.2081708461046219,0.023828566074371338
4,r3_hybrid_energy,-30.0,2,0.15289150178432465,0.06077921390533447
4,r3_hybrid_energy,-30.0,3,0.289248526096344,0.024842679500579834
4,r3_hybrid_energy,-15.0,0,0.4079742431640625,0.06328308582305908
4,r3_hybrid_energy,-15.0,1,0.15060675144195557,0.023828566074371338
4,r3_hybrid_energy,-15.0,2,0.09487809985876083,0.06077921390533447
4,r3_hybrid_energy,-15.0,3,0.3465408682823181,0.024842679500579834
4,r3_hybrid_energy,0.0,0,0.4381294250488281,0.06328308582305908
4,r3_hybrid_energy,0.0,1,0.12141849845647812,0.023828566074371338
4,r3_hybrid_energy,0.0,2,0.08671547472476959,0.06077921390533447
4,r3_hybrid_energy,0.0,3,0.35373660922050476,0.024842679500579834
4,r3_hybrid_energy,15.0,0,0.4048594534397125,0.06328308582305908
4,r3_hybrid_energy,15.0,1,0.1282617151737213,0.023828566074371338
4,r3_hybrid_energy,15.0,2,0.12130169570446014,0.06077921390533447
4,r3_hybrid_energy,15.0,3,0.3455771207809448,0.024842679500579834
4,r3_hybrid_energy,30.0,0,0.327932208776474,0.06328308582305908
4,r3_hybrid_energy,30.0,1,0.18292531371116638,0.023828566074371338
4,r3_hybrid_energy,30.0,2,0.19346700608730316,0.06077921390533447
4,r3_hybrid_energy,30.0,3,0.29567545652389526,0.024842679500579834
4,r3_hybrid_energy,45.0,0,0.20299124717712402,0.06328308582305908
4,r3_hybrid_energy,45.0,1,0.25222206115722656,0.023828566074371338
4,r3_hybrid_energy,45.0,2,0.28127941489219666,0.06077921390533447
4,r3_hybrid_energy,45.0,3,0.26350724697113037,0.024842679500579834
4,r3_hybrid_energy,60.0,0,0.11550650745630264,0.06328308582305908
4,r3_hybrid_energy,60.0,1,0.31117013096809387,0.023828566074371338
4,r3_hybrid_energy,60.0,2,0.37639373540878296,0.06077921390533447
4,r3_hybrid_energy,60.0,3,0.19692963361740112,0.024842679500579834
4,r3_hybrid_energy,75.0,0,0.08818116784095764,0.06328308582305908
4,r3_hybrid_energy,75.0,1,0.3568837642669678,0.023828566074371338
4,r3_hybrid_energy,75.0,2,0.3944447934627533,0.06077921390533447
4,r3_hybrid_energy,75.0,3,0.1604902744293213,0.024842679500579834
