model_seed,method,angle,host,baseline_accuracy,ablated_accuracy,accuracy_drop,is_top_host,is_random_control
3,r1_linear,0.0,2,0.9056603773584906,0.8962264150943396,0.009433962264150941,0,0
3,r1_linear,0.0,3,0.9056603773584906,0.9056603773584906,0.0,0,1
3,r1_linear,15.0,0,0.8962264150943396,0.8962264150943396,0.0,0,1
3,r1_linear,15.0,1,0.8962264150943396,0.8867924528301887,0.009433962264150941,1,0
3,r1_linear,15.0,2,0.8962264150943396,0.9056603773584906,-0.009433962264150941,0,0
3,r1_linear,15.0,3,0.8962264150943396,0.8962264150943396,0.0,0,0
3,r1_linear,30.0,0,0.7830188679245284,0.7924528301886793,-0.009433962264150941,0,0
3,r1_linear,30.0,1,0.7830188679245284,0.7547169811320755,0.028301886792452824,1,0
3,r1_linear,30.0,2,0.7830188679245284,0.7830188679245284,0.0,0,1
3,r1_linear,30.0,3,0.7830188679245284,0.7830188679245284,0.0,0,0
3,r1_linear,45.0,0,0.660377358490566,0.6698113207547169,-0.009433962264150941,1,1
3,r1_linear,45.0,1,0.660377358490566,0.660377358490566,0.0,0,0
3,r1_linear,45.0,2,0.660377358490566,0.6698113207547169,-0.009433962264150941,0,0
3,r1_linear,45.0,3,0.660377358490566,0.660377358490566,0.0,0,0
3,r1_linear,60.0,0,0.5943396226415094,0.5660377358490566,0.028301886792452824,1,0
3,r1_linear,60.0,1,0.5943396226415094,0.5660377358490566,0.028301886792452824,0,1
3,r1_linear,60.0,2,0.5943396226415094,0.5754716981132075,0.018867924528301883,0,0
3,r1_linear,60.0,3,0.5943396226415094,0.5754716981132075,0.018867924528301883,0,0
3,r1_linear,75.0,0,0.39622641509433965,0.42452830188679247,-0.028301886792452824,1,0
3,r1_linear,75.0,1,0.39622641509433965,0.39622641509433965,0.0,0,0
3,r1_linear,75.0,2,0.39622641509433965,0.3867924528301887,0.009433962264150941,0,1
3,r1_linear,75.0,3,0.39622641509433965,0.39622641509433965,0.0,0,0
3,r2_prototype_energy,-75.0,0,0.25471698113207547,0.2641509433962264,-0.009433962264150941,0,0
3,r2_prototype_energy,-75.0,1,0.25471698113207547,0.25471698113207547,0.0,0,0
3,r2_prototype_energy,-75.0,2,0.25471698113207547,0.24528301886792453,0.009433962264150941,0,0
3,r2_prototype_energy,-75.0,3,0.25471698113207547,0.27358490566037735,-0.018867924528301883,1,1
3,r2_prototype_energy,-60.0,0,0.27358490566037735,0.2830188679245283,-0.009433962264150941,0,0
3,r2_prototype_energy,-60.0,1,0.27358490566037735,0.29245283018867924,-0.018867924528301883,1,0
3,r2_prototype_energy,-60.0,2,0.27358490566037735,0.24528301886792453,0.028301886792452824,0,0
3,r2_prototype_energy,-60.0,3,0.27358490566037735,0.25471698113207547,0.018867924528301883,0,1
3,r2_prototype_energy,-45.0,0,0.37735849056603776,0.36792452830188677,0.009433962264150997,0,0
3,r2_prototype_energy,-45.0,1,0.37735849056603776,0.41509433962264153,-0.037735849056603765,1,0
3,r2_prototype_energy,-45.0,2,0.37735849056603776,0.3490566037735849,0.02830188679245288,0,1
3,r2_prototype_energy,-45.0,3,0.37735849056603776,0.3584905660377358,0.018867924528301938,0,0
3,r2_prototype_energy,-30.0,0,0.5849056603773585,0.5849056603773585,0.0,0,1
3,r2_prototype_energy,-30.0,1,0.5849056603773585,0.6226415094339622,-0.037735849056603765,0,0
3,r2_prototype_energy,-30.0,2,0.5849056603773585,0.5471698113207547,0.037735849056603765,1,0
3,r2_prototype_energy,-30.0,3,0.5849056603773585,0.5849056603773585,0.0,0,0
3,r2_prototype_energy,-15.0,0,0.8113207547169812,0.8113207547169812,0.0,0,1
3,r2_prototype_energy,-15.0,1,0.8113207547169812,0.8207547169811321,-0.009433962264150941,0,0
3,r2_prototype_energy,-15.0,2,0.8113207547169812,0.7641509433962265,0.047169811320754707,1,0
3,r2_prototype_energy,-15.0,3,0.8113207547169812,0.8301886792452831,-0.018867924528301883,0,0
3,r2_prototype_energy,0.0,0,0.9150943396226415,0.9150943396226415,0.0,0,0
3,r2_prototype_energy,0.0,1,0.9150943396226415,0.9150943396226415,0.0,0,0
3,r2_prototype_energy,0.0,2,0.9150943396226415,0.9056603773584906,0.009433962264150941,1,0
3,r2_prototype_energy,0.0,3,0.9150943396226415,0.9150943396226415,0.0,0,1
3,r2_prototype_energy,15.0,0,0.8962264150943396,0.8962264150943396,0.0,0,1
3,r2_prototype_energy,15.0,1,0.8962264150943396,0.8773584905660378,0.018867924528301883,0,0
3,r2_prototype_energy,15.0,2,0.8962264150943396,0.8962264150943396,0.0,1,0
3,r2_prototype_energy,15.0,3,0.8962264150943396,0.8867924528301887,0.009433962264150941,0,0
3,r2_prototype_energy,30.0,0,0.7452830188679245,0.7641509433962265,-0.018867924528301994,0,0
3,r2_prototype_energy,30.0,1,0.7452830188679245,0.7452830188679245,0.0,0,0
3,r2_prototype_energy,30.0,2,0.7452830188679245,0.7641509433962265,-0.018867924528301994,0,1
3,r2_prototype_energy,30.0,3,0.7452830188679245,0.7547169811320755,-0.009433962264151052,1,0
3,r2_prototype_energy,45.0,0,0.6698113207547169,0.6792452830188679,-0.009433962264150941,0,1
3,r2_prototype_energy,45.0,1,0.6698113207547169,0.660377358490566,0.009433962264150941,0,0
3,r2_prototype_energy,45.0,2,0.6698113207547169,0.6886792452830188,-0.018867924528301883,0,0
3,r2_prototype_energy,45.0,3,0.6698113207547169,0.660377358490566,0.009433962264150941,1,0
3,r2_prototype_energy,60.0,0,0.5943396226415094,0.5849056603773585,0.009433962264150941,0,0
3,r2_prototype_energy,60.0,1,0.5943396226415094,0.5943396226415094,0.0,0,1
3,r2_prototype_energy,60.0,2,0.5943396226415094,0.5943396226415094,0.0,0,0
3,r2_prototype_energy,60.0,3,0.5943396226415094,0.5849056603773585,0.009433962264150941,1,0
3,r2_prototype_energy,75.0,0,0.41509433962264153,0.41509433962264153,0.0,0,0
3,r2_prototype_energy,75.0,1,0.41509433962264153,0.44339622641509435,-0.028301886792452824,0,0
3,r2_prototype_energy,75.0,2,0.41509433962264153,0.41509433962264153,0.0,0,1
3,r2_prototype_energy,75.0,3,0.41509433962264153,0.3867924528301887,0.028301886792452824,1,0
3,r3_hybrid_energy,-75.0,0,0.24528301886792453,0.27358490566037735,-0.028301886792452824,0,0
3,r3_hybrid_energy,-75.0,1,0.24528301886792453,0.25471698113207547,-0.009433962264150941,0,0
3,r3_hybrid_energy,-75.0,2,0.24528301886792453,0.25471698113207547,-0.009433962264150941,0,0
3,r3_hybrid_energy,-75.0,3,0.24528301886792453,0.29245283018867924,-0.047169811320754707,1,1
3,r3_hybrid_energy,-60.0,0,0.27358490566037735,0.2641509433962264,0.009433962264150941,0,0
3,r3_hybrid_energy,-60.0,1,0.27358490566037735,0.29245283018867924,-0.018867924528301883,0,0
3,r3_hybrid_energy,-60.0,2,0.27358490566037735,0.2641509433962264,0.009433962264150941,0,0
3,r3_hybrid_energy,-60.0,3,0.27358490566037735,0.3018867924528302,-0.028301886792452824,1,1
3,r3_hybrid_energy,-45.0,0,0.41509433962264153,0.42452830188679247,-0.009433962264150941,0,0
3,r3_hybrid_energy,-45.0,1,0.41509433962264153,0.4056603773584906,0.009433962264150941,0,0
3,r3_hybrid_energy,-45.0,2,0.41509433962264153,0.39622641509433965,0.018867924528301883,0,1
3,r3_hybrid_energy,-45.0,3,0.41509433962264153,0.42452830188679247,-0.009433962264150941,1,0
3,r3_hybrid_energy,-30.0,0,0.6037735849056604,0.5943396226415094,0.009433962264150941,0,1
3,r3_hybrid_energy,-30.0,1,0.6037735849056604,0.6037735849056604,0.0,0,0
3,r3_hybrid_energy,-30.0,2,0.6037735849056604,0.5754716981132075,0.028301886792452824,1,0
3,r3_hybrid_energy,-30.0,3,0.6037735849056604,0.6320754716981132,-0.028301886792452824,0,0
3,r3_hybrid_energy,-15.0,0,0.8207547169811321,0.8207547169811321,0.0,0,1
3,r3_hybrid_energy,-15.0,1,0.8207547169811321,0.8207547169811321,0.0,0,0
3,r3_hybrid_energy,-15.0,2,0.8207547169811321,0.7830188679245284,0.037735849056603765,1,0
3,r3_hybrid_energy,-15.0,3,0.8207547169811321,0.8113207547169812,0.009433962264150941,0,0
3,r3_hybrid_energy,0.0,0,0.8962264150943396,0.9056603773584906,-0.009433962264150941,0,0
3,r3_hybrid_energy,0.0,1,0.8962264150943396,0.8962264150943396,0.0,0,0
3,r3_hybrid_energy,0.0,2,0.8962264150943396,0.8867924528301887,0.009433962264150941,1,0
3,r3_hybrid_energy,0.0,3,0.8962264150943396,0.8962264150943396,0.0,0,1
3,r3_hybrid_energy,15.0,0,0.8773584905660378,0.8867924528301887,-0.009433962264150941,0,1
3,r3_hybrid_energy,15.0,1,0.8773584905660378,0.8679245283018868,0.009433962264150941,0,0
3,r3_hybrid_energy,15.0,2,0.8773584905660378,0.8490566037735849,0.028301886792452824,1,0
3,r3_hybrid_energy,15.0,3,0.8773584905660378,0.8679245283018868,0.009433962264150941,0,0
3,r3_hybrid_energy,30.0,0,0.7264150943396226,0.7358490566037735,-0.009433962264150941,0,0
3,r3_hybrid_energy,30.0,1,0.7264150943396226,0.7358490566037735,-0.009433962264150941,1,0
3,r3_hybrid_energy,30.0,2,0.7264150943396226,0.7358490566037735,-0.009433962264150941,0,1
3,r3_hybrid_energy,30.0,3,0.7264150943396226,0.7358490566037735,-0.009433962264150941,0,0
3,r3_hybrid_energy,45.0,0,0.6226415094339622,0.6320754716981132,-0.009433962264150941,0,1
3,r3_hybrid_energy,45.0,1,0.6226415094339622,0.6509433962264151,-0.028301886792452824,1,0
3,r3_hybrid_energy,45.0,2,0.6226415094339622,0.6415094339622641,-0.018867924528301883,0,0
3,r3_hybrid_energy,45.0,3,0.6226415094339622,0.6226415094339622,0.0,0,0
3,r3_hybrid_energy,60.0,0,0.5754716981132075,0.5566037735849056,0.018867924528301883,0,0
3,r3_hybrid_energy,60.0,1,0.5754716981132075,0.5660377358490566,0.009433962264150941,1,1
3,r3_hybrid_energy,60.0,2,0.5754716981132075,0.5754716981132075,0.0,0,0
3,r3_hybrid_energy,60.0,3,0.5754716981132075,0.5943396226415094,-0.018867924528301883,0,0
3,r3_hybrid_energy,75.0,0,0.4339622641509434,0.41509433962264153,0.018867924528301883,0,0
3,r3_hybrid_energy,75.0,1,0.4339622641509434,0.4339622641509434,0.0,1,0
3,r3_hybrid_energy,75.0,2,0.4339622641509434,0.4339622641509434,0.0,0,1
3,r3_hybrid_energy,75.0,3,0.4339622641509434,0.41509433962264153,0.018867924528301883,0,0
4,r0_mlp,-75.0,0,0.24528301886792453,0.2830188679245283,-0.037735849056603765,0,1
4,r0_mlp,-75.0,1,0.24528301886792453,0.25471698113207547,-0.009433962264150941,1,0
4,r0_mlp,-75.0,2,0.24528301886792453,0.27358490566037735,-0.028301886792452824,0,0
4,r0_mlp,-75.0,3,0.24528301886792453,0.27358490566037735,-0.028301886792452824,0,0
4,r0_mlp,-60.0,0,0.3113207547169811,0.3018867924528302,0.009433962264150941,0,1
4,r0_mlp,-60.0,1,0.3113207547169811,0.24528301886792453,0.06603773584905659,1,0
4,r0_mlp,-60.0,2,0.3113207547169811,0.3018867924528302,0.009433962264150941,0,0
4,r0_mlp,-60.0,3,0.3113207547169811,0.2830188679245283,0.028301886792452824,0,0
4,r0_mlp,-45.0,0,0.4339622641509434,0.44339622641509435,-0.009433962264150941,0,0
4,r0_mlp,-45.0,1,0.4339622641509434,0.4056603773584906,0.028301886792452824,1,0
4,r0_mlp,-45.0,2,0.4339622641509434,0.42452830188679247,0.009433962264150941,0,0
4,r0_mlp,-45.0,3,0.4339622641509434,0.42452830188679247,0.009433962264150941,0,1
4,r0_mlp,-30.0,0,0.6226415094339622,0.6037735849056604,0.018867924528301883,0,0
4,r0_mlp,-30.0,1,0.6226415094339622,0.5849056603773585,0.037735849056603765,1,0
4,r0_mlp,-30.0,2,0.6226415094339622,0.5849056603773585,0.037735849056603765,0,0
4,r0_mlp,-30.0,3,0.6226415094339622,0.6037735849056604,0.018867924528301883,0,1
4,r0_mlp,-15.0,0,0.8207547169811321,0.8207547169811321,0.0,0,0
4,r0_mlp,-15.0,1,0.8207547169811321,0.8301886792452831,-0.009433962264150941,1,0
4,r0_mlp,-15.0,2,0.8207547169811321,0.8207547169811321,0.0,0,0
4,r0_mlp,-15.0,3,0.8207547169811321,0.8113207547169812,0.009433962264150941,0,1
4,r0_mlp,0.0,0,0.9150943396226415,0.8962264150943396,0.018867924528301883,0,0
4,r0_mlp,0.0,1,0.9150943396226415,0.9245283018867925,-0.009433962264150941,1,0
4,r0_mlp,0.0,2,0.9150943396226415,0.9150943396226415,0.0,0,1
4,r0_mlp,0.0,3,0.9150943396226415,0.9150943396226415,0.0,0,0
4,r0_mlp,15.0,0,0.8773584905660378,0.8867924528301887,-0.009433962264150941,0,0
4,r0_mlp,15.0,1,0.8773584905660378,0.8867924528301887,-0.009433962264150941,1,0
4,r0_mlp,15.0,2,0.8773584905660378,0.8773584905660378,0.0,0,1
4,r0_mlp,15.0,3,0.8773584905660378,0.8773584905660378,0.0,0,0
4,r0_mlp,30.0,0,0.7924528301886793,0.8113207547169812,-0.018867924528301883,0,0
4,r0_mlp,30.0,1,0.7924528301886793,0.7641509433962265,0.028301886792452824,1,0
4,r0_mlp,30.0,2,0.7924528301886793,0.7830188679245284,0.009433962264150941,0,0
4,r0_mlp,30.0,3,0.7924528301886793,0.7641509433962265,0.028301886792452824,0,1
4,r0_mlp,45.0,0,0.6886792452830188,0.6981132075471698,-0.009433962264150941,0,1
4,r0_mlp,45.0,1,0.6886792452830188,0.6698113207547169,0.018867924528301883,1,0
4,r0_mlp,45.0,2,0.6886792452830188,0.6698113207547169,0.018867924528301883,0,0
4,r0_mlp,45.0,3,0.6886792452830188,0.6886792452830188,0.0,0,0
4,r0_mlp,60.0,0,0.5943396226415094,0.5943396226415094,0.0,0,0
4,r0_mlp,60.0,1,0.5943396226415094,0.5660377358490566,0.028301886792452824,1,0
4,r0_mlp,60.0,2,0.5943396226415094,0.6037735849056604,-0.009433962264150941,0,0
4,r0_mlp,60.0,3,0.5943396226415094,0.6132075471698113,-0.018867924528301883,0,1
4,r0_mlp,75.0,0,0.4339622641509434,0.44339622641509435,-0.009433962264150941,0,0
4,r0_mlp,75.0,1,0.4339622641509434,0.3867924528301887,0.047169811320754707,1,1
4,r0_mlp,75.0,2,0.4339622641509434,0.42452830188679247,0.009433962264150941,0,0
4,r0_mlp,75.0,3,0.4339622641509434,0.46226415094339623,-0.028301886792452824,0,0
4,r1_linear,-75.0,0,0.24528301886792453,0.24528301886792453,0.0,0,1
4,r1_linear,-75.0,1,0.24528301886792453,0.2169811320754717,0.028301886792452824,0,0
4,r1_linear,-75.0,2,0.24528301886792453,0.2641509433962264,-0.018867924528301883,1,0
4,r1_linear,-75.0,3,0.24528301886792453,0.24528301886792453,0.0,0,0
4,r1_linear,-60.0,0,0.2358490566037736,0.2641509433962264,-0.028301886792452824,0,1
4,r1_linear,-60.0,1,0.2358490566037736,0.22641509433962265,0.009433962264150941,0,0
4,r1_linear,-60.0,2,0.2358490566037736,0.27358490566037735,-0.037735849056603765,1,0
4,r1_linear,-60.0,3,0.2358490566037736,0.24528301886792453,-0.009433962264150941,0,0
4,r1_linear,-45.0,0,0.3867924528301887,0.4056603773584906,-0.018867924528301883,0,0
4,r1_linear,-45.0,1,0.3867924528301887,0.36792452830188677,0.018867924528301938,0,0
4,r1_linear,-45.0,2,0.3867924528301887,0.4056603773584906,-0.018867924528301883,1,0
4,r1_linear,-45.0,3,0.3867924528301887,0.37735849056603776,0.009433962264150941,0,1
4,r1_linear,-30.0,0,0.6226415094339622,0.6226415094339622,0.0,0,0
4,r1_linear,-30.0,1,0.6226415094339622,0.5754716981132075,0.047169811320754707,0,0
4,r1_linear,-30.0,2,0.6226415094339622,0.5849056603773585,0.037735849056603765,1,0
4,r1_linear,-30.0,3,0.6226415094339622,0.6037735849056604,0.018867924528301883,0,1
4,r1_linear,-15.0,0,0.839622641509434,0.839622641509434,0.0,0,0
4,r1_linear,-15.0,1,0.839622641509434,0.839622641509434,0.0,0,0
4,r1_linear,-15.0,2,0.839622641509434,0.8207547169811321,0.018867924528301883,0,0
4,r1_linear,-15.0,3,0.839622641509434,0.8301886792452831,0.009433962264150941,1,1
4,r1_linear,0.0,0,0.8962264150943396,0.8962264150943396,0.0,0,0
4,r1_linear,0.0,1,0.8962264150943396,0.9056603773584906,-0.009433962264150941,0,0
4,r1_linear,0.0,2,0.8962264150943396,0.9056603773584906,-0.009433962264150941,0,1
4,r1_linear,0.0,3,0.8962264150943396,0.9056603773584906,-0.009433962264150941,1,0
4,r1_linear,15.0,0,0.8773584905660378,0.8962264150943396,-0.018867924528301883,0,0
4,r1_linear,15.0,1,0.8773584905660378,0.9056603773584906,-0.028301886792452824,0,0
4,r1_linear,15.0,2,0.8773584905660378,0.8867924528301887,-0.009433962264150941,0,1
4,r1_linear,15.0,3,0.8773584905660378,0.8773584905660378,0.0,1,0
4,r1_linear,30.0,0,0.7830188679245284,0.7924528301886793,-0.009433962264150941,0,0
4,r1_linear,30.0,1,0.7830188679245284,0.7547169811320755,0.028301886792452824,0,0
4,r1_linear,30.0,2,0.7830188679245284,0.7830188679245284,0.0,1,0
4,r1_linear,30.0,3,0.7830188679245284,0.7924528301886793,-0.009433962264150941,0,1
4,r1_linear,45.0,0,0.6981132075471698,0.7075471698113207,-0.009433962264150941,0,1
4,r1_linear,45.0,1,0.6981132075471698,0.6886792452830188,0.009433962264150941,0,0
4,r1_linear,45.0,2,0.6981132075471698,0.6698113207547169,0.028301886792452824,1,0
4,r1_linear,45.0,3,0.6981132075471698,0.7075471698113207,-0.009433962264150941,0,0
4,r1_linear,60.0,0,0.5660377358490566,0.5754716981132075,-0.009433962264150941,0,0
4,r1_linear,60.0,1,0.5660377358490566,0.5471698113207547,0.018867924528301883,0,0
4,r1_linear,60.0,2,0.5660377358490566,0.5849056603773585,-0.018867924528301883,1,0
4,r1_linear,60.0,3,0.5660377358490566,0.5566037735849056,0.009433962264150941,0,1
4,r1_linear,75.0,0,0.41509433962264153,0.39622641509433965,0.018867924528301883,0,0
4,r1_linear,75.0,1,0.41509433962264153,0.3867924528301887,0.028301886792452824,0,1
4,r1_linear,75.0,2,0.41509433962264153,0.41509433962264153,0.0,1,0
4,r1_linear,75.0,3,0.41509433962264153,0.41509433962264153,0.0,0,0
4,r2_prototype_energy,-75.0,0,0.19811320754716982,0.24528301886792453,-0.047169811320754707,1,1
4,r2_prototype_energy,-75.0,1,0.19811320754716982,0.19811320754716982,0.0,0,0
4,r2_prototype_energy,-75.0,2,0.19811320754716982,0.19811320754716982,0.0,0,0
4,r2_prototype_energy,-75.0,3,0.19811320754716982,0.2169811320754717,-0.018867924528301883,0,0
4,r2_prototype_energy,-60.0,0,0.1792452830188679,0.22641509433962265,-0.047169811320754734,1,1
4,r2_prototype_energy,-60.0,1,0.1792452830188679,0.18867924528301888,-0.009433962264150969,0,0
4,r2_prototype_energy,-60.0,2,0.1792452830188679,0.16981132075471697,0.009433962264150941,0,0
4,r2_prototype_energy,-60.0,3,0.1792452830188679,0.18867924528301888,-0.009433962264150969,0,0
4,r2_prototype_energy,-45.0,0,0.330188679245283,0.36792452830188677,-0.037735849056603765,0,0
4,r2_prototype_energy,-45.0,1,0.330188679245283,0.29245283018867924,0.037735849056603765,0,0
4,r2_prototype_energy,-45.0,2,0.330188679245283,0.3018867924528302,0.028301886792452824,0,0
4,r2_prototype_energy,-45.0,3,0.330188679245283,0.3490566037735849,-0.018867924528301883,1,1
4,r2_prototype_energy,-30.0,0,0.5377358490566038,0.5754716981132075,-0.037735849056603765,0,0
4,r2_prototype_energy,-30.0,1,0.5377358490566038,0.5283018867924528,0.009433962264150941,0,0
4,r2_prototype_energy,-30.0,2,0.5377358490566038,0.49056603773584906,0.047169811320754707,0,0
4,r2_prototype_energy,-30.0,3,0.5377358490566038,0.5566037735849056,-0.018867924528301883,1,1
4,r2_prototype_energy,-15.0,0,0.8207547169811321,0.8301886792452831,-0.009433962264150941,0,0
4,r2_prototype_energy,-15.0,1,0.8207547169811321,0.7830188679245284,0.037735849056603765,1,0
4,r2_prototype_energy,-15.0,2,0.8207547169811321,0.7830188679245284,0.037735849056603765,0,0
4,r2_prototype_energy,-15.0,3,0.8207547169811321,0.8490566037735849,-0.028301886792452824,0,1
4,r2_prototype_energy,0.0,0,0.8962264150943396,0.9056603773584906,-0.009433962264150941,0,0
4,r2_prototype_energy,0.0,1,0.8962264150943396,0.8679245283018868,0.028301886792452824,0,0
4,r2_prototype_energy,0.0,2,0.8962264150943396,0.8584905660377359,0.037735849056603765,1,1
4,r2_prototype_energy,0.0,3,0.8962264150943396,0.9056603773584906,-0.009433962264150941,0,0
4,r2_prototype_energy,15.0,0,0.8962264150943396,0.9150943396226415,-0.018867924528301883,0,0
4,r2_prototype_energy,15.0,1,0.8962264150943396,0.8773584905660378,0.018867924528301883,1,0
4,r2_prototype_energy,15.0,2,0.8962264150943396,0.8773584905660378,0.018867924528301883,0,1
4,r2_prototype_energy,15.0,3,0.8962264150943396,0.8679245283018868,0.028301886792452824,0,0
4,r2_prototype_energy,30.0,0,0.8018867924528302,0.7830188679245284,0.018867924528301883,0,0
4,r2_prototype_energy,30.0,1,0.8018867924528302,0.7830188679245284,0.018867924528301883,1,0
4,r2_prototype_energy,30.0,2,0.8018867924528302,0.7735849056603774,0.028301886792452824,0,0
4,r2_prototype_energy,30.0,3,0.8018867924528302,0.8113207547169812,-0.009433962264150941,0,1
4,r2_prototype_energy,45.0,0,0.6698113207547169,0.6698113207547169,0.0,1,1
4,r2_prototype_energy,45.0,1,0.6698113207547169,0.6886792452830188,-0.018867924528301883,0,0
4,r2_prototype_energy,45.0,2,0.6698113207547169,0.660377358490566,0.009433962264150941,0,0
4,r2_prototype_energy,45.0,3,0.6698113207547169,0.660377358490566,0.009433962264150941,0,0
4,r2_prototype_energy,60.0,0,0.5660377358490566,0.5660377358490566,0.0,1,0
4,r2_prototype_energy,60.0,1,0.5660377358490566,0.5943396226415094,-0.028301886792452824,0,0
4,r2_prototype_energy,60.0,2,0.5660377358490566,0.5471698113207547,0.018867924528301883,0,0
4,r2_prototype_energy,60.0,3,0.5660377358490566,0.5754716981132075,-0.009433962264150941,0,1
4,r2_prototype_energy,75.0,0,0.37735849056603776,0.41509433962264153,-0.037735849056603765,1,0
4,r2_prototype_energy,75.0,1,0.37735849056603776,0.37735849056603776,0.0,0,1
4,r2_prototype_energy,75.0,2,0.37735849056603776,0.37735849056603776,0.0,0,0
4,r2_prototype_energy,75.0,3,0.37735849056603776,0.4056603773584906,-0.028301886792452824,0,0
4,r3_hybrid_energy,-75.0,0,0.2358490566037736,0.2358490566037736,0.0,0,1
4,r3_hybrid_energy,-75.0,1,0.2358490566037736,0.22641509433962265,0.009433962264150941,0,0
4,r3_hybrid_energy,-75.0,2,0.2358490566037736,0.3018867924528302,-0.06603773584905659,1,0
4,r3_hybrid_energy,-75.0,3,0.2358490566037736,0.2169811320754717,0.018867924528301883,0,0
4,r3_hybrid_energy,-60.0,0,0.2830188679245283,0.27358490566037735,0.009433962264150941,0,1
4,r3_hybrid_energy,-60.0,1,0.2830188679245283,0.24528301886792453,0.037735849056603765,0,0
4,r3_hybrid_energy,-60.0,2,0.2830188679245283,0.3490566037735849,-0.06603773584905659,1,0
4,r3_hybrid_energy,-60.0,3,0.2830188679245283,0.2830188679245283,0.0,0,0
4,r3_hybrid_energy,-45.0,0,0.4056603773584906,0.3867924528301887,0.018867924528301883,0,0
4,r3_hybrid_energy,-45.0,1,0.4056603773584906,0.4339622641509434,-0.028301886792452824,0,0
4,r3_hybrid_energy,-45.0,2,0.4056603773584906,0.44339622641509435,-0.037735849056603765,1,0
4,r3_hybrid_energy,-45.0,3,0.4056603773584906,0.41509433962264153,-0.009433962264150941,0,1
4,r3_hybrid_energy,-30.0,0,0.6037735849056604,0.5943396226415094,0.009433962264150941,1,0
4,r3_hybrid_energy,-30.0,1,0.6037735849056604,0.6509433962264151,-0.047169811320754707,0,0
4,r3_hybrid_energy,-30.0,2,0.6037735849056604,0.6132075471698113,-0.009433962264150941,0,0
4,r3_hybrid_energy,-30.0,3,0.6037735849056604,0.5943396226415094,0.009433962264150941,0,1
4,r3_hybrid_energy,-15.0,0,0.7735849056603774,0.8018867924528302,-0.028301886792452824,1,0
4,r3_hybrid_energy,-15.0,1,0.7735849056603774,0.8018867924528302,-0.028301886792452824,0,0
4,r3_hybrid_energy,-15.0,2,0.7735849056603774,0.7830188679245284,-0.009433962264150941,0,0
4,r3_hybrid_energy,-15.0,3,0.7735849056603774,0.7547169811320755,0.018867924528301883,0,1
4,r3_hybrid_energy,0.0,0,0.9150943396226415,0.9150943396226415,0.0,1,0
4,r3_hybrid_energy,0.0,1,0.9150943396226415,0.9150943396226415,0.0,0,0
4,r3_hybrid_energy,0.0,2,0.9150943396226415,0.9150943396226415,0.0,0,1
4,r3_hybrid_energy,0.0,3,0.9150943396226415,0.8962264150943396,0.018867924528301883,0,0
4,r3_hybrid_energy,15.0,0,0.8867924528301887,0.8773584905660378,0.009433962264150941,1,0
4,r3_hybrid_energy,15.0,1,0.8867924528301887,0.8867924528301887,0.0,0,0
4,r3_hybrid_energy,15.0,2,0.8867924528301887,0.8867924528301887,0.0,0,1
4,r3_hybrid_energy,15.0,3,0.8867924528301887,0.8773584905660378,0.009433962264150941,0,0
4,r3_hybrid_energy,30.0,0,0.7735849056603774,0.7924528301886793,-0.018867924528301883,1,0
4,r3_hybrid_energy,30.0,1,0.7735849056603774,0.7547169811320755,0.018867924528301883,0,0
4,r3_hybrid_energy,30.0,2,0.7735849056603774,0.7830188679245284,-0.009433962264150941,0,0
4,r3_hybrid_energy,30.0,3,0.7735849056603774,0.7641509433962265,0.009433962264150941,0,1
4,r3_hybrid_energy,45.0,0,0.6886792452830188,0.7264150943396226,-0.037735849056603765,0,1
4,r3_hybrid_energy,45.0,1,0.6886792452830188,0.6226415094339622,0.06603773584905659,0,0
4,r3_hybrid_energy,45.0,2,0.6886792452830188,0.660377358490566,0.028301886792452824,1,0
4,r3_hybrid_energy,45.0,3,0.6886792452830188,0.6981132075471698,-0.009433962264150941,0,0
4,r3_hybrid_energy,60.0,0,0.5188679245283019,0.5188679245283019,0.0,0,0
4,r3_hybrid_energy,60.0,1,0.5188679245283019,0.44339622641509435,0.07547169811320753,0,0
4,r3_hybrid_energy,60.0,2,0.5188679245283019,0.6132075471698113,-0.09433962264150941,1,0
4,r3_hybrid_energy,60.0,3,0.5188679245283019,0.5283018867924528,-0.009433962264150941,0,1
4,r3_hybrid_energy,75.0,0,0.4056603773584906,0.4056603773584906,0.0,0,0
4,r3_hybrid_energy,75.0,1,0.4056603773584906,0.36792452830188677,0.03773584905660382,0,1
4,r3_hybrid_energy,75.0,2,0.4056603773584906,0.39622641509433965,0.009433962264150941,1,0
4,r3_hybrid_energy,75.0,3,0.4056603773584906,0.41509433962264153,-0.009433962264150941,0,0
